 ID,Gene.symbol,Gene.title,log2Exp,log2FC
227188_at,EVA1C,eva-1 homolog C,5.801,-4.664
227191_at,ITFG1,integrin alpha FG-GAP repeat containing 1,6.446,-1.4
227199_at,DIP2A,disco interacting protein 2 homolog A,8.828,-1.529
227204_at,PARD6G,par-6 family cell polarity regulator gamma,8.144,-2.137
227207_x_at,ZNF213,zinc finger protein 213,7.231,-1.046
227209_at,CNTN1,contactin 1,6.468,-2.827
227211_at,PHF19,PHD finger protein 19,9.858,1.327
227212_s_at,PHF19,PHD finger protein 19,9.628,1.393
227229_at,VPS53,"VPS53, GARP complex subunit",7.19,-1.181
227231_at,KIAA1211,KIAA1211,5.43,3.917
227250_at,KREMEN1,kringle containing transmembrane protein 1,7.657,-1.678
227255_at,PDIK1L,PDLIM1 interacting kinase 1 like,7.992,1.612
227256_at,USP31,ubiquitin specific peptidase 31,9.028,-1.47
227261_at,KLF12,Kruppel like factor 12,8.52,-1.226
227264_at,TRAF6,TNF receptor associated factor 6,6.707,-1.844
227276_at,PLXDC2,plexin domain containing 2,5.495,-3.76
227286_at,INO80E,INO80 complex subunit E,8.169,-1.014
227288_at,SREK1IP1,SREK1 interacting protein 1,8.779,-1.684
227290_at,CDYL2,chromodomain Y-like 2,6.944,-3.191
227306_at,ACER2,alkaline ceramidase 2,6.542,-1.573
227309_at,YOD1,YOD1 deubiquitinase,9.181,-1.433
227314_at,ITGA2,integrin subunit alpha 2,10.064,-2
227325_at,INAFM1,InaF motif containing 1,8.179,-1.185
227332_at,PXN-AS1,PXN antisense RNA 1,4.623,3.17
227333_at,DCUN1D3,defective in cullin neddylation 1 domain containing 3,7.531,-1.471
227340_s_at,RGMB,repulsive guidance molecule family member b,6.852,-1.905
227345_at,TNFRSF10D,TNF receptor superfamily member 10d,9.049,-1.735
227359_at,OSCP1,organic solute carrier partner 1,6.639,-1.311
227376_at,GLI3,GLI family zinc finger 3,7.238,-1.88
227385_at,PLPP6,phospholipid phosphatase 6,8.348,-1.824
227386_s_at,TMEM200B,transmembrane protein 200B,6.913,2.392
227391_x_at,LRRFIP1,LRR binding FLII interacting protein 1,11.329,-1.221
227393_at,ANO9,anoctamin 9,6.211,-2.746
227394_at,NCAM1,neural cell adhesion molecule 1,6.232,-1.347
227396_at,PTPRJ,"protein tyrosine phosphatase, receptor type J",8.562,2.786
227402_s_at,UTP23,"UTP23, small subunit processome component",7.132,1.65
227404_s_at,EGR1,early growth response 1,8.4,-2.442
227405_s_at,MIR4683///FZD8,microRNA 4683///frizzled class receptor 8,6.465,-2.289
227412_at,PPP1R3E,protein phosphatase 1 regulatory subunit 3E,6.607,-1.159
227414_at,RHBDD1,rhomboid domain containing 1,7.875,-1.672
227415_at,DGKH,diacylglycerol kinase eta,9.674,-1.633
227429_at,CRACR2B,calcium release activated channel regulator 2B,6.642,1.351
227434_at,WBSCR17,Williams-Beuren syndrome chromosome region 17,3.405,-2.138
227445_at,ZNF689,zinc finger protein 689,6.145,1.5
227446_s_at,DHRS4-AS1,DHRS4 antisense RNA 1,7.481,-1.49
227458_at,CD274,CD274 molecule,7.927,-2.788
227461_at,STON2,stonin 2,7.427,-4.607
227462_at,ERAP2,endoplasmic reticulum aminopeptidase 2,7.92,-3.088
227463_at,ACE,angiotensin I converting enzyme,2.122,-1.271
227474_at,PAX8-AS1,PAX8 antisense RNA 1,8.241,-3.386
227478_at,SETBP1,SET binding protein 1,4.747,-4.881
227481_at,CNKSR3,CNKSR family member 3,7.729,2.145
227483_s_at,UNC93B1,unc-93 homolog B1 (C. elegans),1.523,-2.433
227488_at,MIR503///MIR424///MIR503HG,microRNA 503///microRNA 424///MIR503 host gene,3.717,-1.133
227490_at,WDFY2,WD repeat and FYVE domain containing 2,7.688,-2.465
227491_at,ELOVL6,ELOVL fatty acid elongase 6,7.636,-1.986
227496_at,NR6A1,nuclear receptor subfamily 6 group A member 1,4.633,-1.898
227498_at,SOX6,SRY-box 6,4.635,-2.588
227518_at,SLC35E1,solute carrier family 35 member E1,8.835,-1.059
227524_at,FZD3,frizzled class receptor 3,6.786,-1.052
227528_s_at,KMT2D,lysine methyltransferase 2D,8.386,-1.08
227535_at,EMC7,ER membrane protein complex subunit 7,6.116,-1.884
227549_x_at,ZDHHC24,zinc finger DHHC-type containing 24,7.351,-1.158
227565_at,KLHL5,kelch like family member 5,9.471,1.633
227566_at,LOC102725271///NTM,neurotrimin-like///neurotrimin,6.461,-2.573
227569_at,LNX2,ligand of numb-protein X 2,7.909,-1.848
227579_at,FER,FER tyrosine kinase,8.767,-1.115
227591_at,SH3BP5-AS1,SH3BP5 antisense RNA 1,6.513,-1.388
227594_at,ZMYM6,zinc finger MYM-type containing 6,7.89,-1.261
227608_at,DAP3,death associated protein 3,7.792,-1.19
227628_at,GPX8,glutathione peroxidase 8 (putative),10.19,-1.812
227635_at,RBBP6,"RB binding protein 6, ubiquitin ligase",3.275,-2.035
227639_at,PIGK,phosphatidylinositol glycan anchor biosynthesis class K,9.234,-1.698
227642_at,TFCP2L1,transcription factor CP2-like 1,5.999,-3.086
227649_s_at,SRGAP2C///SRGAP2B///SRGAP2,SLIT-ROBO Rho GTPase activating protein 2C///SLIT-ROBO Rho GTPase activating protein 2B///SLIT-ROBO Rho GTPase activating protein 2,7.527,-1.805
227655_at,SNHG18,small nucleolar RNA host gene 18,5.248,-3.096
227656_at,ERMARD,ER membrane associated RNA degradation,8.764,-1.407
227671_at,XIST,X inactive specific transcript (non-protein coding),5.747,-1.898
227675_at,LRSAM1,leucine rich repeat and sterile alpha motif containing 1,5.94,-1.044
227678_at,ATP23,ATP23 metallopeptidase and ATP synthase assembly factor homolog,8.616,1.365
227679_at,HDAC11,histone deacetylase 11,6.904,-1.477
227686_at,OXNAD1,oxidoreductase NAD binding domain containing 1,8.292,-1.161
227706_at,SPIRE2,spire type actin nucleation factor 2,6.069,1.526
227710_s_at,TPT1-AS1,TPT1 antisense RNA 1,6.117,-1.859
227717_at,ARHGEF37,Rho guanine nucleotide exchange factor 37,4.921,-4.806
227720_at,ANKRD13B,ankyrin repeat domain 13B,6.565,-1.082
227721_at,CPAMD8,"C3 and PZP like, alpha-2-macroglobulin domain containing 8",4.592,-2.041
227734_s_at,ZNHIT2,zinc finger HIT-type containing 2,1.364,-1.914
227735_s_at,C10orf99,chromosome 10 open reading frame 99,4.385,-3.268
227736_at,C10orf99,chromosome 10 open reading frame 99,3.413,-4.353
227737_at,SRPRB,SRP receptor beta subunit,7.847,-1.146
227749_at,POU2F2,POU class 2 homeobox 2,5.938,-1.362
227753_at,TMEM139,transmembrane protein 139,6.799,-3.591
227755_at,ERN1,endoplasmic reticulum to nucleus signaling 1,8.296,-2.227
227759_at,PCSK9,proprotein convertase subtilisin/kexin type 9,4.687,-2.943
227761_at,MYO5A,myosin VA,9.849,-1.596
227762_at,,,5.967,-1.6
227766_at,LIG4,DNA ligase 4,8.55,-1.654
227770_at,COG8,component of oligomeric golgi complex 8,7.782,1.639
227778_at,MROH1,maestro heat like repeat family member 1,7.274,-2.083
227785_at,SDCCAG8,serologically defined colon cancer antigen 8,7.935,-2.096
227794_at,LOC100287413///GLYATL1,uncharacterized LOC100287413///glycine-N-acyltransferase like 1,3.823,-1.783
227795_at,NDUFV1,NADH:ubiquinone oxidoreductase core subunit V1,3.499,-1.219
227796_at,ZFP62,ZFP62 zinc finger protein,9.38,-1.083
227806_at,C16orf74,chromosome 16 open reading frame 74,5.614,-4.34
227809_at,ZC3H6,zinc finger CCCH-type containing 6,7.022,-1.118
227826_s_at,SORBS2,sorbin and SH3 domain containing 2,4.645,-2.12
227827_at,SORBS2,sorbin and SH3 domain containing 2,3.694,-2.293
227829_at,LARGE2,LARGE xylosyl- and glucuronyltransferase 2,6.755,-1.54
227855_at,ARHGEF40,Rho guanine nucleotide exchange factor 40,5.304,-1.347
227862_at,TRNP1,TMF1-regulated nuclear protein 1,8.396,-3.143
227865_at,IDNK,"IDNK, gluconokinase",6.342,1.639
227873_at,TXNDC15,thioredoxin domain containing 15,8.582,-1.632
227879_at,ALKBH7,alkB homolog 7,4.96,-1.582
227880_s_at,TMEM185A,transmembrane protein 185A,7.54,-1.364
227882_at,FKRP,fukutin related protein,8.171,-1.341
227887_at,FOXN3-AS1,FOXN3 antisense RNA 1,6.069,-1.37
227890_at,TMEM198,transmembrane protein 198,6.775,-1.184
227906_s_at,,,3.898,-1.971
227919_at,UCA1,urothelial cancer associated 1 (non-protein coding),7.161,-3.016
227941_at,LOC339803,uncharacterized LOC339803,7.549,-2.401
227949_at,PHACTR3,phosphatase and actin regulator 3,5.938,-4.117
227950_at,UBE2H,ubiquitin conjugating enzyme E2 H,3.693,-1.645
227957_at,GSN,gelsolin,1.357,-2.369
227968_at,PDDC1,Parkinson disease 7 domain containing 1,8.608,-1.657
227972_at,TOR2A,torsin family 2 member A,6.901,-1.316
227981_at,CYB561D1,cytochrome b561 family member D1,7.948,-1.448
227987_at,VPS13A,vacuolar protein sorting 13 homolog A,8.912,-1.043
227988_s_at,VPS13A,vacuolar protein sorting 13 homolog A,8.671,-1.153
227993_at,METAP2,methionyl aminopeptidase 2,9.659,1.187
228001_at,TMEM50B,transmembrane protein 50B,7.674,-1.375
228005_at,ZXDB,"zinc finger, X-linked, duplicated B",8.823,-1.295
228031_at,TTPAL,alpha tocopherol transfer protein like,9.193,-1.122
228036_s_at,FBXO2,F-box protein 2,1.971,-2.131
228054_at,TMEM44,transmembrane protein 44,7.289,-1.355
228064_at,LRRC75B,leucine rich repeat containing 75B,6.518,-1.306
228065_at,BCL9L,B-cell CLL/lymphoma 9-like,7.964,-1.457
228078_at,LOC101930243///LOC101929865,uncharacterized LOC101930243///uncharacterized LOC101929865,0.868,-1.483
228081_at,CCNG2,cyclin G2,7.193,-2.98
228082_at,CLMP,CXADR like membrane protein,6.125,-4.982
228084_at,PLA2G12A,phospholipase A2 group XIIA,9.111,-1.003
228086_at,STK33,serine/threonine kinase 33,5.265,-1.228
228097_at,MYLIP,myosin regulatory light chain interacting protein,6.063,2.566
228108_at,PPM1L,"protein phosphatase, Mg2+/Mn2+ dependent 1L",7.093,2.489
228116_at,LINC01296///DUXAP10///DUXAP8,long intergenic non-protein coding RNA 1296///double homeobox A pseudogene 10///double homeobox A pseudogene 8,8.404,4.632
228126_x_at,CTXN1,cortexin 1,6.233,1.377
228127_at,KCNK3,potassium two pore domain channel subfamily K member 3,5.152,-1.778
228134_at,MYH11,myosin heavy chain 11,3.3,-2.085
228140_s_at,PPP2R2C,protein phosphatase 2 regulatory subunit Bgamma,4.403,1.288
228153_at,RNF144B,ring finger protein 144B,8.032,-3.123
228159_at,WDFY2,WD repeat and FYVE domain containing 2,8.438,-2.726
228160_at,LINC00667,long intergenic non-protein coding RNA 667,7.221,-1.246
228162_at,ESD,esterase D,7.417,-1.167
228166_at,ALG2,"ALG2, alpha-1,3/1,6-mannosyltransferase",5.532,-1.43
228171_s_at,PLEKHG4,pleckstrin homology and RhoGEF domain containing G4,8.29,1.088
228181_at,SLC30A1,solute carrier family 30 member 1,7.548,-1.996
228188_at,FOSL2,"FOS like 2, AP-1 transcription factor subunit",8.312,-2.031
228193_s_at,RGCC,regulator of cell cycle,2.211,-1.545
228194_s_at,SORCS1,sortilin related VPS10 domain containing receptor 1,3.482,-2.61
228220_at,FCHO2,FCH domain only 2,9.53,-1.084
228224_at,PRELP,proline and arginine rich end leucine rich repeat protein,2.431,-1.703
228228_at,DACT3,dishevelled binding antagonist of beta catenin 3,6.331,-1.384
228234_at,TMED7-TICAM2///TICAM2,TMED7-TICAM2 readthrough///toll like receptor adaptor molecule 2,8.32,-1.882
228235_at,MIR424///MIR503HG,microRNA 424///MIR503 host gene,6.558,-2.894
228236_at,SLC52A3,solute carrier family 52 member 3,5.022,-2.921
228247_at,LOC283788,FSHD region gene 1 pseudogene,6.49,-1.302
228256_s_at,EPB41L4A,erythrocyte membrane protein band 4.1 like 4A,7.496,-2.697
228260_at,ELAVL2,ELAV like neuron-specific RNA binding protein 2,6.472,-3.537
228264_at,ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive),6.355,2.88
228265_at,,,1.189,-1.125
228267_at,,,1.901,-2.815
228268_at,FMO2,flavin containing monooxygenase 2,6.097,-1.12
228271_at,,,7.729,-1.201
228279_s_at,,,5.561,-1.27
228280_at,ZC3HAV1L,"zinc finger CCCH-type containing, antiviral 1 like",9.459,2.515
228281_at,DDIAS,DNA damage induced apoptosis suppressor,8.371,1.954
228290_at,KIZ,kizuna centrosomal protein,6.872,-2.681
228291_s_at,KIZ,kizuna centrosomal protein,9.602,-2.088
228306_at,CNIH4,cornichon family AMPA receptor auxiliary protein 4,8.363,-1.315
228309_at,APMAP,adipocyte plasma membrane associated protein,6.906,-1.928
228312_at,PI16,peptidase inhibitor 16,3.143,-2.868
228314_at,LOC101927933///LRRC8C,uncharacterized LOC101927933///leucine rich repeat containing 8 family member C,8.758,-3.176
228316_at,CLHC1,clathrin heavy chain linker domain containing 1,6.89,-1.766
228319_at,FAM84A,family with sequence similarity 84 member A,5.25,-2.266
228326_at,WDR27,WD repeat domain 27,7.785,-1.326
228329_at,DAB1,"DAB1, reelin adaptor protein",5.996,-1.005
228330_at,ZUFSP,zinc finger with UFM1 specific peptidase domain,8.437,-1.041
228337_at,PWWP2A,PWWP domain containing 2A,4.815,1.915
228344_s_at,TBX3,T-box 3,2.238,-1.831
228349_at,KIAA1958,KIAA1958,6.119,2.535
228374_at,R3HCC1L,R3H domain and coiled-coil containing 1 like,7.512,-1.251
228388_at,NFKBIB,NFKB inhibitor beta,6.737,1.548
228392_at,ZNF302,zinc finger protein 302,8.357,-1.213
228404_at,IRX2,iroquois homeobox 2,5.699,-1.14
228409_at,PLIN4,perilipin 4,3.349,-1.587
228411_at,PARD3B,par-3 family cell polarity regulator beta,6.736,1.169
228416_at,ACVR2A,activin A receptor type 2A,7.444,-1.068
228422_at,LHFPL4,lipoma HMGIC fusion partner-like 4,5.68,2.257
228425_at,PAX8-AS1,PAX8 antisense RNA 1,5.37,-3.916
228437_at,CNIH4,cornichon family AMPA receptor auxiliary protein 4,7.625,-1.64
228442_at,NFATC2,nuclear factor of activated T-cells 2,5.548,2.855
228447_at,AKAP17A,A-kinase anchoring protein 17A,4.185,-2.255
228449_at,MORC2,MORC family CW-type zinc finger 2,5.536,2.395
228456_s_at,CDS2,CDP-diacylglycerol synthase 2,8.739,-1.598
228457_at,PPM1L,"protein phosphatase, Mg2+/Mn2+ dependent 1L",6.564,1.265
228460_at,ZNF319,zinc finger protein 319,8.016,-1.226
228462_at,IRX2,iroquois homeobox 2,4.952,-7.2
228465_at,,,6.819,-1.172
228469_at,PPID,peptidylprolyl isomerase D,6.226,-1.122
228474_s_at,KLF9,Kruppel like factor 9,2.569,-2.336
228477_at,ARGLU1,arginine and glutamate rich 1,8.888,-2.282
228479_at,SOAT1,sterol O-acyltransferase 1,9.123,-1.255
228482_at,TVP23C-CDRT4///CDRT4///TVP23C,TVP23C-CDRT4 readthrough///CMT1A duplicated region transcript 4///trans-golgi network vesicle protein 23 homolog C (S. cerevisiae),8.012,-1.324
228487_s_at,,,8.03,-1.586
228489_at,TM4SF18,transmembrane 4 L six family member 18,7.442,3.53
228490_at,ABHD2,abhydrolase domain containing 2,7.125,-1.46
228494_at,PPP1R9A,protein phosphatase 1 regulatory subunit 9A,7.828,4.408
228495_at,GPATCH11,G-patch domain containing 11,7.772,1.06
228497_at,SLC22A15,solute carrier family 22 member 15,6.621,-4.623
228504_at,SCN7A,sodium voltage-gated channel alpha subunit 7,3.933,-1.112
228508_at,MAML3,mastermind like transcriptional coactivator 3,2.642,-1.039
228511_s_at,,,1.673,-2.219
228519_x_at,CIRBP,cold inducible RNA binding protein,7.655,-1.491
228520_s_at,APLP2,amyloid beta precursor like protein 2,8.09,-1.097
228528_at,MIR29C///MIR29B2,microRNA 29c///microRNA 29b-2,7.405,-2.251
228533_at,,,4.375,-2.038
228536_at,PRMT9,protein arginine methyltransferase 9,8.349,-1.129
228550_at,RTN4R,reticulon 4 receptor,5.748,-2.445
228553_at,ENAH,enabled homolog (Drosophila),4.653,-1.866
228558_at,C14orf80,chromosome 14 open reading frame 80,6.195,1.944
228570_at,BTBD11,BTB domain containing 11,6.24,-4.753
228575_at,IL20RB,interleukin 20 receptor subunit beta,7.912,-6.112
228581_at,KCNJ10,potassium voltage-gated channel subfamily J member 10,2.144,-1.199
228587_at,FAM83G,family with sequence similarity 83 member G,7.07,-1.38
228595_at,HSD17B1,hydroxysteroid 17-beta dehydrogenase 1,8.13,-1.156
228596_at,ARHGEF5,Rho guanine nucleotide exchange factor 5,7.108,-2.44
228609_at,LOC102723600///MIR1302-11///MIR1302-10///MIR1302-9///MIR1302-2,uncharacterized LOC102723600///microRNA 1302-11///microRNA 1302-10///microRNA 1302-9///microRNA 1302-2,1.394,-2.079
228618_at,PEAR1,platelet endothelial aggregation receptor 1,7.13,-7.663
228640_at,PCDH7,protocadherin 7,8.064,-1.613
228642_at,HOTAIRM1,"HOXA transcript antisense RNA, myeloid-specific 1",7.197,-4.878
228661_s_at,LOC102606465,uncharacterized LOC102606465,8.194,-1.087
228665_at,CYYR1,cysteine and tyrosine rich 1,4.768,-2.07
228677_s_at,RASAL3,RAS protein activator like 3,4.856,-1.641
228685_at,IL17RA,interleukin 17 receptor A,5.982,-1.615
228689_at,NDUFA11,NADH:ubiquinone oxidoreductase subunit A11,4.775,-2.519
228691_at,,,4.667,-2.013
228698_at,SOX7,SRY-box 7,7.3,-3.809
228718_at,ZNF44,zinc finger protein 44,4.99,-2.936
228743_at,TXNDC17,thioredoxin domain containing 17,7.408,-1.045
228747_at,SEC61A2,Sec61 translocon alpha 2 subunit,7.229,-1.375
228748_at,CD59,CD59 molecule,7.449,-3.039
228750_at,COL14A1,collagen type XIV alpha 1 chain,3.571,-2.476
228751_at,CLK4,CDC like kinase 4,8.106,-2.308
228759_at,CREB3L2,cAMP responsive element binding protein 3 like 2,5.183,-1.682
228775_at,EMC3,ER membrane protein complex subunit 3,8.385,-1.667
228789_at,MTMR6,myotubularin related protein 6,6.183,-1.451
228793_at,JMJD1C,jumonji domain containing 1C,8.109,-1.195
228807_at,ASPA,aspartoacylase,1.774,-1.184
228814_at,RBBP6,"RB binding protein 6, ubiquitin ligase",1.656,-1.347
228817_at,ALG9,"ALG9, alpha-1,2-mannosyltransferase",8.132,-1.08
228838_at,,,2.071,-1.339
228840_at,AMOTL1,angiomotin like 1,6.822,-3.594
228854_at,,,4.277,-4.283
228865_at,C1orf116,chromosome 1 open reading frame 116,6.718,-6.538
228874_at,PHLDB3,pleckstrin homology like domain family B member 3,2.476,-2.604
228888_at,STAC2,SH3 and cysteine rich domain 2,6.01,-1.48
228891_at,SEMA4D,semaphorin 4D,2.488,-1.89
228900_at,SPECC1,sperm antigen with calponin homology and coiled-coil domains 1,4.901,-3.067
228907_at,,,1.326,-1.037
228910_at,CD82,CD82 molecule,4.661,-2.834
228921_at,SLC25A42,solute carrier family 25 member 42,3.696,1.789
228923_at,S100A6,S100 calcium binding protein A6,6.892,-2.437
228926_s_at,SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",4.646,-2.317
228931_at,COQ4,coenzyme Q4,8.436,1.378
228939_at,OAF,out at first homolog,2.562,-1.303
228947_x_at,TMEM204,transmembrane protein 204,4.785,-1.728
228951_at,SLC38A7,solute carrier family 38 member 7,7.628,-1.109
228952_at,ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,5.52,1.559
228953_at,WHAMM,"WAS protein homolog associated with actin, golgi membranes and microtubules",8.009,-1.219
228954_at,LYSMD4,LysM domain containing 4,7.311,-1.82
228956_at,UGT8,UDP glycosyltransferase 8,8.377,3.54
228964_at,PRDM1,PR/SET domain 1,6.988,-2.058
228966_at,PANK2,pantothenate kinase 2,6.031,-1.549
228975_at,SP6,Sp6 transcription factor,5.332,-2.39
228984_at,CARNS1,carnosine synthase 1,4.043,-2.003
228991_at,CDK13,cyclin dependent kinase 13,8.529,-1.306
228993_s_at,BBIP1,BBSome interacting protein 1,7.947,-1.908
228995_at,CAMSAP1,calmodulin regulated spectrin associated protein 1,1.349,-1.261
228997_at,TRNAU1AP,tRNA selenocysteine 1 associated protein 1,6.691,-1.296
229003_x_at,FAM69B,family with sequence similarity 69 member B,5.963,-1.572
229014_at,NR2F1-AS1,NR2F1 antisense RNA 1,8.387,1.723
229015_at,,,5.349,2.32
229039_at,SYN2,synapsin II,5.515,-1.282
229059_at,FAM225B///FAM225A,family with sequence similarity 225 member B (non-protein coding)///family with sequence similarity 225 member A (non-protein coding),5.654,1.697
229065_at,SLC35F3,solute carrier family 35 member F3,6.291,-2.624
229070_at,ADTRP,androgen dependent TFPI regulating protein,5.726,-5.081
229074_at,EHD4,EH domain containing 4,8.769,-1.14
229076_s_at,TOMM22,translocase of outer mitochondrial membrane 22,6.091,-1.061
229077_at,KATNB1,katanin regulatory subunit B1,2.067,-1.234
229086_at,ZNF436-AS1,ZNF436 antisense RNA 1,7.892,-1.242
229088_at,ENPP1,ectonucleotide pyrophosphatase/phosphodiesterase 1,5.191,2.952
229094_at,ATP6V0E2-AS1,ATP6V0E2 antisense RNA 1,5.294,1.612
229101_at,IL17RA,interleukin 17 receptor A,7.121,-2.046
229103_at,LOC101929777///WNT3,uncharacterized LOC101929777///Wnt family member 3,6.89,1.46
229109_s_at,BLVRA,biliverdin reductase A,5.526,-1.695
229116_at,CNKSR2,connector enhancer of kinase suppressor of Ras 2,5.765,4.973
229120_s_at,CDC42SE1,CDC42 small effector 1,10.174,-1.196
229121_at,CMKLR1,chemerin chemokine-like receptor 1,3.371,-2.039
229125_at,KANK4,KN motif and ankyrin repeat domains 4,3.112,-4.639
229134_at,VANGL1,VANGL planar cell polarity protein 1,7.05,-1.431
229144_at,KAZN,"kazrin, periplakin interacting protein",5.242,-3.319
229147_at,RASSF6,Ras association domain family member 6,6.217,-4.759
229148_at,HOTAIRM1///HOXA2,"HOXA transcript antisense RNA, myeloid-specific 1///homeobox A2",2.502,-1.931
229149_at,HOTAIRM1///HOXA2,"HOXA transcript antisense RNA, myeloid-specific 1///homeobox A2",1.551,-1.867
229157_at,PRKAG2-AS1,PRKAG2 antisense RNA 1,5.137,2.485
229159_at,THSD7A,thrombospondin type 1 domain containing 7A,3.255,3.769
229161_at,,,5.869,-1.088
229163_at,CAMK2N1,calcium/calmodulin dependent protein kinase II inhibitor 1,5.595,-3.545
229167_at,PURA,purine rich element binding protein A,7.897,-1.56
229180_at,WWC1,WW and C2 domain containing 1,5.11,-2.143
229192_s_at,LOC101929597///TBCD,uncharacterized LOC101929597///tubulin folding cofactor D,5.283,2.921
229200_at,,,7.416,-1.08
229202_at,PCNX2,pecanex homolog 2 (Drosophila),7.849,-2.022
229213_at,DIRC2,disrupted in renal carcinoma 2,5.843,-1.487
229221_at,CD44,CD44 molecule (Indian blood group),7.356,-2.467
229259_at,GFAP,glial fibrillary acidic protein,2.292,-1.346
229264_at,,,6.264,-1.365
229286_at,MAGEE1,MAGE family member E1,6.902,-1.506
229296_at,LINC01503,long intergenic non-protein coding RNA 1503,4.023,-6.154
229300_at,RAB3C,"RAB3C, member RAS oncogene family",2.017,-1.899
229301_at,TUG1,taurine up-regulated 1 (non-protein coding),4.56,-2.309
229310_at,KLHL29,kelch like family member 29,8.535,-2.17
229312_s_at,GKAP1,G kinase anchoring protein 1,5.99,1.35
229318_at,NUTM2B-AS1,NUTM2B antisense RNA 1,7.668,-1.974
229319_at,,,7.869,-1.987
229331_at,SPATA18,spermatogenesis associated 18,5.014,-4.139
229341_at,TFCP2L1,transcription factor CP2-like 1,1.587,-1.03
229343_at,GTSE1,G2 and S-phase expressed 1,1.814,-1.212
229345_at,RTN4RL2,reticulon 4 receptor-like 2,1.618,-1.558
229359_at,ASXL2,"additional sex combs like 2, transcriptional regulator",7.131,-1.227
229360_at,ZNF280B,zinc finger protein 280B,5.401,2.641
229379_at,AHDC1,AT-hook DNA binding motif containing 1,2.207,-1.177
229382_at,LOC101928718///FAM212B,uncharacterized LOC101928718///family with sequence similarity 212 member B,2.914,-1.178
229384_at,,,7.016,-1.409
229385_s_at,TINCR,tissue differentiation-inducing non-protein coding RNA,5.27,-2.22
229392_s_at,PIK3R2,phosphoinositide-3-kinase regulatory subunit 2,2.508,-1.797
229397_s_at,ARHGAP35,Rho GTPase activating protein 35,6.831,-1.058
229403_at,B4GALT1,"beta-1,4-galactosyltransferase 1",1.915,-1.81
229410_at,SLC35E1,solute carrier family 35 member E1,8.507,-1.613
229415_at,CYCS,"cytochrome c, somatic",6.878,-1.774
229419_at,FBXW7,F-box and WD repeat domain containing 7,8.735,-1.847
229420_at,LOC101243545///SNORD4A,"uncharacterized LOC101243545///small nucleolar RNA, C/D box 4A",7.512,-1.052
229427_at,SEMA5A,semaphorin 5A,5.524,-2.778
229430_at,C8orf46,chromosome 8 open reading frame 46,4.407,2.673
229433_at,RBM26,RNA binding motif protein 26,8.101,-1.135
229435_at,GLIS3,GLIS family zinc finger 3,5.406,4.882
229453_at,PDIA3,protein disulfide isomerase family A member 3,7.717,-1.56
229476_s_at,THRSP,thyroid hormone responsive,2.549,-2.699
229478_x_at,BIVM,"basic, immunoglobulin-like variable motif containing",4.458,-2.217
229488_at,OTUD7B,OTU deubiquitinase 7B,7.122,-1.042
229492_at,VANGL1,VANGL planar cell polarity protein 1,8.736,-1.587
229507_at,FAM212A,family with sequence similarity 212 member A,5.684,-2.96
229515_at,PAWR,pro-apoptotic WT1 regulator,7.538,-1.007
229518_at,FAM46B,family with sequence similarity 46 member B,6.859,-2.6
229522_at,SDR42E1,"short chain dehydrogenase/reductase family 42E, member 1",5.829,-3.966
229524_at,EFCAB14,EF-hand calcium binding domain 14,3.614,-1.606
229526_at,AQP11,aquaporin 11,5.585,3.068
229541_at,HMBOX1,homeobox containing 1,4.51,-1.943
229544_at,,,7.699,-1.636
229545_at,FERMT1,fermitin family member 1,6.824,-1.556
229546_at,LOC653602///FAM84A,uncharacterized LOC653602///family with sequence similarity 84 member A,4.106,-3.96
229549_at,CALU,calumenin,9.066,-1.478
229551_x_at,ZNF367,zinc finger protein 367,9.442,2.441
229556_at,LOC100288893,uncharacterized LOC100288893,4.576,-2.185
229565_x_at,TBX3,T-box 3,2.133,-1.932
229568_at,MOB3B,MOB kinase activator 3B,6.493,-3.433
229573_at,USP9X,"ubiquitin specific peptidase 9, X-linked",7.976,-1.315
229582_at,INO80C,INO80 complex subunit C,9.774,-2.309
229583_at,,,1.811,-1.597
229591_at,LRP5,LDL receptor related protein 5,3.86,-2.178
229616_s_at,GRAMD2,GRAM domain containing 2,6.269,-2.272
229621_x_at,,,4.476,-1.729
229634_at,TMEM139,transmembrane protein 139,4.733,-3.972
229641_at,CCBE1,collagen and calcium binding EGF domains 1,6.483,-4.82
229646_at,SOBP,sine oculis binding protein homolog,3.032,-1.794
229668_at,,,3.272,-1.58
229672_at,UQCC1,ubiquinol-cytochrome c reductase complex assembly factor 1,7.928,-1.106
229686_at,P2RY8,purinergic receptor P2Y8,3.426,-2.018
229692_at,,,7.252,-1.835
229699_at,LOC100129550,uncharacterized LOC100129550,8.179,-1.88
229706_at,TCERG1,transcription elongation regulator 1,2.674,-1.819
229708_at,TOR4A,torsin family 4 member A,0.806,-2.114
229711_s_at,MDM2,MDM2 proto-oncogene,10.372,-1.688
229722_at,LOC100270804,uncharacterized LOC100270804,6.348,-1.363
229723_at,TAGAP,T-cell activation RhoGTPase activating protein,2.626,-2.112
229729_at,TMEM8B,transmembrane protein 8B,3.59,-2.466
229737_at,FAM46A,family with sequence similarity 46 member A,2.043,-1.991
